bill_id,status,cong,cosponsors,majority,republican,independent
103_hr2193,0,103,1.0,1.0,0,0
103_hr2198,0,103,0.0,1.0,0,0
103_hr2204,0,103,7.0,1.0,0,0
103_hr2205,0,103,13.0,1.0,0,0
103_hr2207,0,103,26.0,1.0,0,0
103_hr2219,0,103,23.0,1.0,0,0
103_hr2220,0,103,7.0,0.0,1,0
103_hr2224,0,103,0.0,1.0,0,0
103_hr2225,0,103,1.0,0.0,1,0
103_hr2232,0,103,3.0,0.0,1,0
103_hr2239,0,103,3.0,1.0,0,0
103_hr2241,0,103,34.0,1.0,0,0
103_hr2244,0,103,0.0,1.0,0,0
103_hr2259,0,103,7.0,0.0,1,0
103_hr2262,0,103,0.0,1.0,0,0
103_hr2263,0,103,6.0,1.0,0,0
103_hr2273,0,103,1.0,1.0,0,0
103_hr2277,0,103,21.0,1.0,0,0
103_hr2286,0,103,62.0,1.0,0,0
103_hr2289,0,103,0.0,1.0,0,0
103_hr2312,0,103,1.0,0.0,1,0
103_hr2315,0,103,23.0,0.0,1,0
103_hr232,0,103,0.0,1.0,0,0
103_hr2320,0,103,9.0,1.0,0,0
103_hr2323,0,103,0.0,0.0,1,0
103_hr2326,0,103,134.0,1.0,0,0
103_hr2328,0,103,2.0,1.0,0,0
103_hr2338,0,103,8.0,1.0,0,0
103_hr235,0,103,0.0,1.0,0,0
103_hr2351,0,103,0.0,1.0,0,0
103_hr2352,0,103,11.0,0.0,1,0
103_hr2355,0,103,17.0,0.0,1,0
103_hr2368,0,103,8.0,0.0,1,0
103_hr2380,0,103,0.0,1.0,0,0
103_hr239,1,103,0.0,1.0,0,0
103_hr2396,0,103,17.0,0.0,1,0
103_hr2406,0,103,17.0,0.0,1,0
103_hr241,0,103,1.0,1.0,0,0
103_hr2424,0,103,22.0,0.0,1,0
103_hr2433,0,103,8.0,0.0,1,0
103_hr2440,1,103,0.0,1.0,0,0
103_hr2449,0,103,4.0,1.0,0,0
103_hr2453,0,103,3.0,0.0,1,0
103_hr2454,0,103,0.0,0.0,1,0
103_hr2459,0,103,1.0,1.0,0,0
103_hr2462,0,103,17.0,1.0,0,0
103_hr2468,0,103,0.0,1.0,0,0
103_hr247,0,103,1.0,0.0,1,0
103_hr2472,0,103,9.0,1.0,0,0
103_hr2474,0,103,18.0,0.0,1,0
103_hr2480,0,103,0.0,0.0,1,0
103_hr250,0,103,3.0,0.0,1,0
103_hr2500,0,103,9.0,0.0,1,0
103_hr251,0,103,0.0,1.0,0,0
103_hr2513,0,103,3.0,1.0,0,0
103_hr2516,0,103,0.0,1.0,0,0
103_hr252,0,103,0.0,1.0,0,0
103_hr2522,0,103,0.0,1.0,0,0
103_hr2525,0,103,43.0,1.0,0,0
103_hr2529,0,103,5.0,0.0,1,0
103_hr2535,1,103,33.0,1.0,0,0
103_hr2540,0,103,13.0,1.0,0,0
103_hr255,0,103,0.0,1.0,0,0
103_hr256,0,103,1.0,1.0,0,0
103_hr2560,0,103,1.0,1.0,0,0
103_hr2566,0,103,10.0,1.0,0,0
103_hr257,0,103,0.0,1.0,0,0
103_hr2574,0,103,2.0,1.0,0,0
103_hr2584,0,103,1.0,1.0,0,0
103_hr2589,0,103,2.0,1.0,0,0
103_hr2597,0,103,5.0,0.0,1,0
103_hr26,0,103,92.0,1.0,0,0
103_hr2604,0,103,0.0,1.0,0,0
103_hr2609,0,103,22.0,1.0,0,0
103_hr2619,0,103,0.0,0.0,1,0
103_hr2626,0,103,37.0,1.0,0,0
103_hr2632,1,103,1.0,1.0,0,0
103_hr2633,0,103,3.0,1.0,0,0
103_hr2636,0,103,2.0,0.0,1,0
103_hr2640,0,103,18.0,0.0,1,0
103_hr2648,0,103,47.0,1.0,0,0
103_hr2650,1,103,12.0,1.0,0,0
103_hr2662,0,103,79.0,1.0,0,0
103_hr2668,0,103,2.0,1.0,0,0
103_hr267,0,103,0.0,0.0,1,0
103_hr2676,0,103,11.0,1.0,0,0
103_hr2679,0,103,0.0,1.0,0,0
103_hr268,0,103,0.0,0.0,1,0
103_hr2684,0,103,28.0,1.0,0,0
103_hr2689,0,103,5.0,1.0,0,0
103_hr269,0,103,0.0,0.0,1,0
103_hr2695,0,103,1.0,1.0,0,0
103_hr27,0,103,19.0,1.0,0,0
103_hr270,0,103,0.0,0.0,1,0
103_hr2706,0,103,58.0,1.0,0,0
103_hr2715,0,103,3.0,1.0,0,0
103_hr2719,0,103,0.0,1.0,0,0
103_hr2725,0,103,0.0,1.0,0,0
103_hr274,0,103,0.0,0.0,1,0
103_hr2741,0,103,22.0,1.0,0,0
103_hr2749,0,103,1.0,1.0,0,0
103_hr2758,0,103,36.0,1.0,0,0
103_hr2761,0,103,0.0,1.0,0,0
103_hr2764,0,103,8.0,0.0,1,0
103_hr2766,0,103,0.0,1.0,0,0
103_hr2769,0,103,4.0,1.0,0,0
103_hr277,0,103,0.0,1.0,0,0
103_hr2789,0,103,27.0,0.0,1,0
103_hr2791,0,103,0.0,1.0,0,0
103_hr2797,0,103,38.0,1.0,0,0
103_hr2808,0,103,8.0,1.0,0,0
103_hr2813,0,103,1.0,1.0,0,0
103_hr2815,1,103,5.0,0.0,1,0
103_hr2819,0,103,8.0,0.0,1,0
103_hr282,0,103,9.0,1.0,0,0
103_hr2820,0,103,0.0,1.0,0,0
103_hr2825,0,103,0.0,1.0,0,0
103_hr2834,0,103,26.0,1.0,0,0
103_hr2843,0,103,0.0,1.0,0,0
103_hr2846,0,103,19.0,1.0,0,0
103_hr2848,0,103,37.0,1.0,0,0
103_hr2851,0,103,0.0,0.0,1,0
103_hr2864,0,103,14.0,1.0,0,0
103_hr2866,0,103,143.0,1.0,0,0
103_hr289,0,103,0.0,0.0,1,0
103_hr2891,0,103,0.0,1.0,0,0
103_hr2892,0,103,0.0,0.0,1,0
103_hr2893,0,103,2.0,1.0,0,0
103_hr2895,0,103,0.0,1.0,0,0
103_hr2898,0,103,56.0,1.0,0,0
103_hr2899,0,103,0.0,0.0,1,0
103_hr29,0,103,0.0,1.0,0,0
103_hr2901,0,103,0.0,1.0,0,0
103_hr2902,1,103,3.0,1.0,0,0
103_hr2904,0,103,0.0,1.0,0,0
103_hr291,0,103,144.0,1.0,0,0
103_hr2910,0,103,33.0,0.0,1,0
103_hr2911,0,103,0.0,0.0,1,0
103_hr2912,0,103,28.0,1.0,0,0
103_hr2914,0,103,0.0,0.0,1,0
103_hr2915,0,103,2.0,1.0,0,0
103_hr2916,0,103,3.0,0.0,1,0
103_hr2919,0,103,8.0,1.0,0,0
