,bill_id,status,cong
158,103_hr1723,1,103
159,103_hr1727,1,103
160,103_hr1753,0,103
161,103_hr1760,0,103
162,103_hr1762,0,103
163,103_hr1770,0,103
164,103_hr1774,0,103
165,103_hr1778,0,103
166,103_hr1788,0,103
167,103_hr1791,0,103
168,103_hr1800,0,103
169,103_hr1801,0,103
170,103_hr1809,0,103
171,103_hr181,0,103
172,103_hr1813,0,103
173,103_hr1816,0,103
174,103_hr1817,0,103
175,103_hr1819,0,103
176,103_hr182,0,103
177,103_hr1823,0,103
178,103_hr1824,0,103
179,103_hr1827,0,103
180,103_hr1829,0,103
181,103_hr1830,0,103
182,103_hr1846,0,103
183,103_hr1860,0,103
184,103_hr1865,0,103
185,103_hr187,0,103
186,103_hr1870,0,103
187,103_hr1873,1,103
188,103_hr1883,0,103
189,103_hr19,0,103
190,103_hr1902,0,103
191,103_hr1911,0,103
192,103_hr1916,0,103
193,103_hr1918,0,103
194,103_hr1924,0,103
195,103_hr1927,0,103
196,103_hr1933,1,103
197,103_hr1944,1,103
198,103_hr1947,0,103
199,103_hr1948,0,103
200,103_hr1952,0,103
201,103_hr1955,0,103
202,103_hr1957,0,103
203,103_hr1970,0,103
204,103_hr1978,0,103
205,103_hr1982,0,103
206,103_hr1992,0,103
207,103_hr1993,0,103
208,103_hr1997,0,103
209,103_hr2004,0,103
210,103_hr2013,0,103
211,103_hr2014,0,103
212,103_hr202,0,103
213,103_hr2022,0,103
214,103_hr2023,0,103
215,103_hr2026,0,103
216,103_hr2027,0,103
217,103_hr2034,1,103
218,103_hr2040,0,103
219,103_hr2052,0,103
220,103_hr2067,0,103
221,103_hr2071,0,103
222,103_hr2072,0,103
223,103_hr2078,0,103
224,103_hr2080,0,103
225,103_hr2082,0,103
226,103_hr209,0,103
227,103_hr2101,0,103
228,103_hr2104,0,103
229,103_hr2105,0,103
230,103_hr2106,0,103
231,103_hr2110,0,103
232,103_hr2127,0,103
233,103_hr2130,0,103
234,103_hr2133,0,103
235,103_hr2134,0,103
